respondent_id,score,feedback,nps_reason_primary,nps_reason_secondary,primary_category,plan_type,city,tenure_days,source,sprint_id,sprint_start
8fbd37d0165a,10,"Sasta bhadya he or net bi sai chalta he 
 Bas ek Kami he night me chata jata he",Affordable,Frequent Disconnections,,Verma,,0,CT,Sprint RSP3,2026-03-01
9bde1f6f1172,10,Sasta or badiya,Affordable,,,Verma,,0,WA,Sprint RSP3,2026-03-01
3a96ed213bdc,5,,,,,Verma,,0,WA,Sprint RSP3,2026-03-01
5c9864de44d9,5,Network sahhi nhi aate h router baar baar on off Krna pdta h then wifi connect hota h phone me,Frequent Disconnections,,,Verma,,0,WA,Sprint RSP3,2026-03-01
c6d4b7300911,0,Network speed,Slow Speed,,,Verma,,0,WA,Sprint RSP3,2026-03-01
079715cc4d92,0,Network theek nahin Hai,General Bad Service,,,Verma,,0,WA,Sprint RSP3,2026-03-01
82b2861a31f7,0,Nhi,General Bad Service,,,Verma,,0,WA,Sprint RSP3,2026-03-01
73d3131c5690,10,Service acchi,General Good Service,,,Verma,,0,WA,Sprint RSP3,2026-03-01
2d0f74e78b63,10,,,,,Verma,,0,WA,Sprint RSP3,2026-03-01
9e36d05fa571,0,Nhi,General Bad Service,,,Verma,,0,WA,Sprint RSP3,2026-03-01
a2bf214e5cbd,0,No customer support,Bad Customer Support - Call Centre ,,,Verma,,0,WA,Sprint RSP3,2026-03-01
824f87e1801d,10,Service and low price to start,Affordable,,,Verma,,0,WA,Sprint RSP3,2026-03-01
da73772d184d,0,No no,General Bad Service,,,Verma,,0,WA,Sprint RSP3,2026-03-01
a48e0fe70651,8,"Sometime internet is very slow, even not working",Slow Speed,,,Verma,,0,WA,Sprint RSP3,2026-03-01
22fa3ac2ca87,5,,,,,Verma,,0,WA,Sprint RSP3,2026-03-01
c5b244f066d5,1,No no no pe hi lijiyega no no,General Bad Service,,,Verma,,0,CT,Sprint RSP3,2026-03-01
a12afae790aa,0,Not problem solve payment hogi h phir bhi net nhi arha h very bad service phone bhi nhi receive kar rahe,Internet Down,,,Verma,,0,CT,Sprint RSP3,2026-03-01
2f99d96e2490,6,On daily basis showing no internet and automatically disconnected getting slow internet speed,Frequent Disconnections,Slow Speed,,Verma,,0,WA,Sprint RSP3,2026-03-01
5a0932cfa2d9,7,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
e4a4a4e2153e,7,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
fefa48496494,1,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
79c2cf9bc6dc,2,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
f768d1431f32,10,Service fast h Wiom ki,General Good Service,,,Verma,,0,WA,Sprint RSP3,2026-03-01
f396f0e61953,7,Theak h bajat mea bhe h,Affordable,,,Verma,,0,WA,Sprint RSP3,2026-03-01
079abcfaa602,0,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
60821872cbbf,10,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
09f4dd9ffc76,10,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
8021e8aab9b5,10,Service good,General Good Service,,,Verma,,0,WA,Sprint RSP3,2026-03-01
e1aeb6481a1d,10,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
2f0a33cb93ff,0,Par services,General Bad Service,,,Verma,,0,CT,Sprint RSP3,2026-03-01
7cf29507e7c2,0,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
1286ddafbe5b,5,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
1ef38d150932,10,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
64a8ecad3fc0,10,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
fd4363b40ec2,10,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
7211f4f4cb3e,0,POOR CUSTOMER SERVICE,Bad Customer Support - Call Centre ,,,Verma,,0,WA,Sprint RSP3,2026-03-01
74743dee7ff0,0,Poor service,General Bad Service,,,Verma,,0,WA,Sprint RSP3,2026-03-01
db4332214963,10,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
f5bf9f930832,1,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
07bcdec228e3,9,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
10c3d045673a,10,Service is good,General Good Service,,,Verma,,0,WA,Sprint RSP3,2026-03-01
d3523053d8ec,1,poor services,General Bad Service,,,Verma,,0,CT,Sprint RSP3,2026-03-01
7b4b62479c9e,0,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
85e0caaff78a,10,Service is good,General Good Service,,,Verma,,0,CT,Sprint RSP3,2026-03-01
2ea4962b79e7,1,Raat ko Wi-Fi nahin chalta yah,Frequent Disconnections,,,Verma,,0,WA,Sprint RSP3,2026-03-01
ceab02470c6f,10,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
e82f1e895eb0,5,Range Bhot kam hai,Range Issue,,,Verma,,0,WA,Sprint RSP3,2026-03-01
ce48c0129a0e,10,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
6c1acac46994,10,Service is gud,General Good Service,,,Verma,,0,WA,Sprint RSP3,2026-03-01
97ace8d3d41a,10,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
b5a152b8747b,6,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
0aca9c1e070a,3,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
b9907678739a,0,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
9a7a9783abbd,5,Range kafi kam hai,Range Issue,,,Verma,,0,WA,Sprint RSP3,2026-03-01
d7471973e28c,10,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
503fe877d746,1,Raouter m pourt kam hai,,,,Verma,,0,WA,Sprint RSP3,2026-03-01
40f709b24612,10,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
d2a51336f08d,10,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
0a46b2a65bdf,0,Recharge bhot mehnga h or network speed achhi nhi h,Expensive,,,Verma,,0,CT,Sprint RSP3,2026-03-01
60fa3bf65714,10,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
04405122161a,10,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
6b93ecbdfe84,10,service is very nice,General Good Service,,,Verma,,0,WA,Sprint RSP3,2026-03-01
339e5cfae4aa,0,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
1c07a410456d,10,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
602209274eb3,10,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
340d6d589b0b,3,Recharge hone ke baad bich bich mein pura din net band ho jata hai aur red light show hoti hai,"RDNI (Recharge Done, No Internet)",,,Verma,,0,WA,Sprint RSP3,2026-03-01
bd09f4749be1,10,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
f285bb490e55,10,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
1f9b0d5cc85f,8,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
aead79264c0c,5,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
e359d363b423,0,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
58684be2edd7,0,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
bc2f6d1f124e,0,Recharge ke baad net ni chala ek din bhi,"RDNI (Recharge Done, No Internet)",,,Verma,,0,CT,Sprint RSP3,2026-03-01
fc41021c247a,10,Service very good,General Good Service,,,Verma,,0,WA,Sprint RSP3,2026-03-01
41f6f2f27997,5,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
2ac394ab20c6,0,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
9328311ca333,0,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
2a0a90c88823,10,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
2035893efbec,3,Recharge khatm hota hai turant Kat band kar dete Ho,"RDNI (Recharge Done, No Internet)",,,Verma,,0,WA,Sprint RSP3,2026-03-01
1ed86cd51cc1,0,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
