respondent_id,score,feedback,nps_reason_primary,nps_reason_secondary,primary_category,plan_type,city,tenure_days,source,sprint_id,sprint_start
f6c1b2de40fb,0,So bad service,General Bad Service,,Bad Internet Experience,Verma,,270,CT,Sprint 3,2026-08-01
e0eccf8a3835,5,Sometimes very irritating internet issue,General Bad Service,,Bad Internet Experience,Verma,,270,CT,Sprint 3,2026-08-01
0fd9d675cbfb,4,Service achi nai hai Or speed Bhi slow hai,Slow Speed,,Bad Internet Experience,Verma,,135,CT,Sprint 3,2026-08-01
8ce4a2a52e7c,0,Tumhara waifai nhi chal ta h,General Bad Service,,Bad Internet Experience,Verma,,270,CT,Sprint 3,2026-08-01
d18b89523991,0,Very bad sarvise,General Bad Service,,Bad Internet Experience,Verma,,270,CT,Sprint 3,2026-08-01
c34ff11e16ef,0,Very bad service,General Bad Service,,Bad Internet Experience,Verma,,270,CT,Sprint 3,2026-08-01
822a8e2c7b7a,4,Waste,General Bad Service,,Bad Internet Experience,Verma,,135,CT,Sprint 3,2026-08-01
c67f9f23fa2e,0,Worst service,General Bad Service,,Bad Internet Experience,Verma,,270,CT,Sprint 3,2026-08-01
779ee461c22e,0,Wrost services and bad network,General Bad Service,,Bad Internet Experience,Verma,,135,CT,Sprint 3,2026-08-01
79d634c20af3,0,नेट ठीक से नहीं आता।,General Bad Service,,Bad Internet Experience,Verma,,270,CT,Sprint 3,2026-08-01
03bc7344bda5,2,बहुत ज़्यादा समस्या होती रहती है।,General Bad Service,,Bad Internet Experience,Verma,,270,CT,Sprint 3,2026-08-01
d9a3e6143593,10,10 jaror khege bahut lagbaya bhi hai,General Good Service,,Good Internet Experience,Verma,,270,CT,Sprint 3,2026-08-01
07bfd8cc8750,10,Abhi tk to thik chal raha hai,General Good Service,,Good Internet Experience,Verma,,45,CT,Sprint 3,2026-08-01
a5faba4185ac,8,accha hai,General Good Service,,Good Internet Experience,Verma,,270,CT,Sprint 3,2026-08-01
367c315a8c14,5,Acha hai isliye,General Good Service,,Good Internet Experience,Verma,,135,CT,Sprint 3,2026-08-01
fb66c004e7ed,10,Acha net hai. Best hai...,General Good Service,,Good Internet Experience,Verma,,270,CT,Sprint 3,2026-08-01
a154fd6608bd,10,Apki service achi h net sahi chalta h,General Good Service,,Good Internet Experience,Verma,,270,CT,Sprint 3,2026-08-01
7b3ed38cd9c3,4,,,,,Verma,,135,CT,Sprint 3,2026-08-01
c4f91df45a62,2,,,,,Verma,,135,CT,Sprint 3,2026-08-01
dec43de74d34,0,,,,,Verma,,270,CT,Sprint 3,2026-08-01
6f142f8d485d,0,,,,,Verma,,270,CT,Sprint 3,2026-08-01
3b9bfa441b12,1,,,,,Verma,,45,CT,Sprint 3,2026-08-01
71ec6f364b69,0,Choor ho tum saaree tumhara connection kisi ne lagaya bhi hoga unko bhi mna krungi ki htwa do yaha mere connection me 2 din se problem ho rahi hai lekin koi bhi uspe kaam nhi kr raha uske bd jo team assign hui thi local walo se contact kiya to koi reply nhi unki side se bhyii drama chl raha hai kya 2 din ho gye recharge krwa ke or 2 din se hi connection bnd hai mera or uske baad bhi koi support nhi jab connection lagana tha tb to din 10 baar call kr rahe the uper se team ke log chori se paisa le gye mujhse,Bad Customer Support - Call Centre,Bad Customer Support - Technician,Bad Cx Support,Verma,,45,CT,Sprint 3,2026-08-01
d19323712fe4,10,,,,,Verma,,270,CT,Sprint 3,2026-08-01
17862eec9f19,10,Koi wajha nahi h,,,,Verma,,270,CT,Sprint 3,2026-08-01
b34d5c9063bb,10,,,,,Verma,,270,CT,Sprint 3,2026-08-01
f363f51ff7c0,10,Bahut accha wifi connection hai bus recharge mai problem hai use thik kare,General Good Service,Bad Application,Good Internet Experience,Verma,,135,CT,Sprint 3,2026-08-01
dd790f204e68,10,Bahut achcha hai,General Good Service,,Good Internet Experience,Verma,,270,CT,Sprint 3,2026-08-01
216d70bbb4bf,0,Very disgusting service,General Bad Service,,Bad Internet Experience,Verma,,135,CT,Sprint 3,2026-08-01
31a3caa801ac,10,Best network,General Good Service,,Good Internet Experience,Verma,,45,CT,Sprint 3,2026-08-01
9c909ae0a7de,10,Best service,General Good Service,,Good Internet Experience,Verma,,270,CT,Sprint 3,2026-08-01
db22a0153d21,10,Best service 10/10,General Good Service,,Good Internet Experience,Verma,,45,CT,Sprint 3,2026-08-01
34e0280e3134,10,Best wiom wifi,General Good Service,,Good Internet Experience,Verma,,270,CT,Sprint 3,2026-08-01
05524d6c33c1,9,Better service,General Good Service,,Good Internet Experience,Verma,,135,CT,Sprint 3,2026-08-01
0efaaf774815,7,,,,,Verma,,45,CT,Sprint 3,2026-08-01
a0a1befce5c7,10,Bohot achhi sarvice hai wiom wifi ki bohot achha lga wiom ka wifi lga kar ðŸ˜Š,General Good Service,,Good Internet Experience,Verma,,45,CT,Sprint 3,2026-08-01
35931f715c0a,10,Coz of gud service,General Good Service,,Good Internet Experience,Verma,,135,CT,Sprint 3,2026-08-01
