feature,verdict,reason,tenure_r,churn_r,fill_overall,fill_gap
TOTAL_IVR_CALLS,NORMALIZE,Tenure-biased absolute count (r=+0.249) — normalize to per-month rate,0.2493918414611422,0.17163836400048735,1.0,0.0
INBOUND_CALLS,NORMALIZE,Tenure-biased absolute count (r=+0.348) — normalize to per-month rate,0.34820859354170486,-0.026399173853016208,1.0,0.0
OUTBOUND_CALLS,EXCLUDE,"Reverse causality — reactive to risk, not predictive",-0.037129531700292574,0.3473100357900375,1.0,0.0
ANSWERED_CALLS,NORMALIZE,Tenure-biased absolute count (r=+0.252) — normalize to per-month rate,0.25192025405391383,0.08549667757417373,1.0,0.0
MISSED_CALLS,NORMALIZE,Tenure-biased absolute count (r=+0.201) — normalize to per-month rate,0.20107913436277816,0.1964518059370949,1.0,0.0
DROPPED_CALLS,CLEAN,Passes all checks,0.012615539518473301,0.07277468531901485,1.0,0.0
AVG_ANSWERED_SECONDS,CLEAN,Passes all checks,0.06166373395482221,-0.13759313031594683,1.0,0.0
AVG_CALL_DURATION,REVIEW,Moderate tenure correlation (r=+0.154) — verify not spurious,0.15428999343672165,-0.09746969174915049,0.9937140666922193,-0.005646422419366415
INBOUND_ANSWERED,NORMALIZE,Tenure-biased absolute count (r=+0.273) — normalize to per-month rate,0.2734315588539366,-0.010151690667613749,0.9937140666922193,-0.005646422419366415
INBOUND_UNANSWERED,NORMALIZE,Tenure-biased absolute count (r=+0.371) — normalize to per-month rate,0.3711896614209203,-0.03807535985451415,0.9937140666922193,-0.005646422419366415
AVG_DAILY_DATA_GB,EXCLUDE,Fill-rate leakage — +14pp gap persists in late sprints (+13pp),-0.01744545102000821,-0.1324146083970412,0.18742813338443848,0.14097486168878612
MEDIAN_DAILY_DATA_GB,EXCLUDE,Fill-rate leakage — +14pp gap persists in late sprints (+13pp),0.0024050257012854744,-0.134117108313889,0.18742813338443848,0.14097486168878612
STDDEV_DAILY_DATA_GB,EXCLUDE,Fill-rate leakage — +14pp gap persists in late sprints (+13pp),-0.07968165337009675,-0.09233182822802084,0.18735147566117286,0.14130197977841646
MIN_DAILY_DATA_GB,EXCLUDE,Fill-rate leakage — +14pp gap persists in late sprints (+13pp),0.01935745179467251,0.17251326279532259,0.18742813338443848,0.14097486168878612
MAX_DAILY_DATA_GB,EXCLUDE,Fill-rate leakage — +14pp gap persists in late sprints (+13pp),-0.08539739518640105,-0.12556679551807384,0.18742813338443848,0.14097486168878612
USAGE_DATA_DAYS,EXCLUDE,Fill-rate leakage — +14pp gap persists in late sprints (+13pp),0.16640761823454,-0.7579840053845983,0.18742813338443848,0.14097486168878612
LOW_USAGE_DAYS,EXCLUDE,Fill-rate leakage — +14pp gap persists in late sprints (+13pp),-0.11057184892717525,-0.08685999520348876,0.18742813338443848,0.14097486168878612
HIGH_USAGE_DAYS,EXCLUDE,Fill-rate leakage — +14pp gap persists in late sprints (+13pp),-0.03924083531847299,-0.0731291675304012,0.18742813338443848,0.14097486168878612
detected_language,REVIEW,"Fill-rate gap RECOVERABLE: overall=+11pp, late sprints=+1pp",,,0.42069758528171713,0.10684054100118051
sentiment_polarity,REVIEW,"Fill-rate gap RECOVERABLE: overall=+11pp, late sprints=+1pp",,,0.42069758528171713,0.10684054100118051
sentiment_intensity,REVIEW,"Fill-rate gap RECOVERABLE: overall=+11pp, late sprints=+1pp",0.009012865213943008,0.041186211860868134,0.42069758528171713,0.10684054100118051
emotion,REVIEW,"Fill-rate gap RECOVERABLE: overall=+11pp, late sprints=+1pp",,,0.42069758528171713,0.10684054100118051
comment_quality,REVIEW,"Fill-rate gap RECOVERABLE: overall=+11pp, late sprints=+1pp",,,0.42069758528171713,0.10684054100118051
score_sentiment_mismatch,REVIEW,"Fill-rate gap RECOVERABLE: overall=+11pp, late sprints=+1pp",,,0.42069758528171713,0.10684054100118051
primary_theme,REVIEW,"Fill-rate gap RECOVERABLE: overall=+11pp, late sprints=+1pp",,,0.42069758528171713,0.10684054100118051
primary_theme_score,REVIEW,"Fill-rate gap RECOVERABLE: overall=+11pp, late sprints=+1pp",0.006517718338503814,-0.016744294797837674,0.42069758528171713,0.10684054100118051
secondary_theme,CLEAN,Passes all checks,,,0.12142583365274051,0.03725464996988863
